epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4328.71,1.47463,0.95519,1.38342,0.84544,0.80319,0.86899,0.48792,1.40937,0.89842,1.42258,0.0011882,0.0011882,0.0011882
43,4378.7,1.42983,0.91316,1.34445,0.83124,0.81549,0.8525,0.48398,1.35101,0.90777,1.39783,0.0011684,0.0011684,0.0011684
44,4428.51,1.42676,0.95086,1.3481,0.8301,0.8082,0.85232,0.48572,1.36922,0.92843,1.40351,0.0011486,0.0011486,0.0011486
45,4478.04,1.45129,0.96339,1.35097,0.84199,0.82597,0.86796,0.48943,1.3785,0.87979,1.41881,0.0011288,0.0011288,0.0011288
46,4527.74,1.44659,0.94691,1.35234,0.84785,0.82733,0.87616,0.49962,1.40337,0.8683,1.42503,0.001109,0.001109,0.001109
47,4577.62,1.39998,0.94088,1.34353,0.82681,0.8123,0.8572,0.48589,1.35931,0.92535,1.40146,0.0010892,0.0010892,0.0010892
48,4627.21,1.43705,0.91663,1.34215,0.84062,0.82179,0.8695,0.50386,1.34057,0.87371,1.39019,0.0010694,0.0010694,0.0010694
49,4676.91,1.40631,0.93049,1.32387,0.84749,0.79408,0.87237,0.51076,1.33278,0.89057,1.38229,0.0010496,0.0010496,0.0010496
50,4726.93,1.42215,0.93707,1.35587,0.83556,0.83107,0.87077,0.50239,1.37795,0.87185,1.40571,0.0010298,0.0010298,0.0010298
51,4776.75,1.42289,0.91243,1.33823,0.83351,0.82369,0.85313,0.49966,1.34122,0.87004,1.38271,0.00101,0.00101,0.00101
52,4826.35,1.40418,0.93569,1.32732,0.84643,0.82005,0.88079,0.5247,1.30745,0.86683,1.35852,0.0009902,0.0009902,0.0009902
53,4876.49,1.38305,0.90877,1.31693,0.83888,0.82733,0.87731,0.51563,1.3158,0.87074,1.37041,0.0009704,0.0009704,0.0009704
54,4925.87,1.38285,0.91171,1.3098,0.84204,0.81959,0.86953,0.51558,1.29124,0.8558,1.3653,0.0009506,0.0009506,0.0009506
55,4975.25,1.38774,0.90318,1.31826,0.82732,0.82069,0.87237,0.51066,1.27035,0.89739,1.35804,0.0009308,0.0009308,0.0009308
56,5025.14,1.37024,0.89208,1.31748,0.84267,0.80774,0.87812,0.52432,1.28578,0.86224,1.36256,0.000911,0.000911,0.000911
57,5075.81,1.39196,0.87616,1.3163,0.85269,0.82369,0.87854,0.52592,1.29755,0.83403,1.36286,0.0008912,0.0008912,0.0008912
58,5126.09,1.35526,0.86826,1.31791,0.83465,0.8246,0.86847,0.5079,1.31854,0.86323,1.37266,0.0008714,0.0008714,0.0008714
59,5176.17,1.35471,0.89825,1.31581,0.84814,0.82506,0.87597,0.5297,1.27115,0.84171,1.34616,0.0008516,0.0008516,0.0008516
60,5227.21,1.3351,0.88391,1.29734,0.85592,0.84173,0.89151,0.53077,1.30185,0.81588,1.35948,0.0008318,0.0008318,0.0008318
61,5277.92,1.33991,0.87959,1.29635,0.84138,0.83371,0.88583,0.53661,1.27159,0.82503,1.34308,0.000812,0.000812,0.000812
62,5328.29,1.34404,0.88659,1.30825,0.849,0.8246,0.87964,0.53966,1.26189,0.82991,1.34199,0.0007922,0.0007922,0.0007922
63,5378.21,1.32192,0.86493,1.29747,0.84546,0.82248,0.88611,0.54045,1.26203,0.82001,1.34671,0.0007724,0.0007724,0.0007724
64,5428.44,1.32668,0.8547,1.28273,0.8545,0.82916,0.89529,0.55384,1.22809,0.82251,1.32549,0.0007526,0.0007526,0.0007526
65,5478.7,1.32904,0.84303,1.28633,0.853,0.82551,0.89493,0.54957,1.24425,0.8201,1.32705,0.0007328,0.0007328,0.0007328
66,5529.17,1.29018,0.85203,1.27113,0.84628,0.83189,0.88904,0.55024,1.21838,0.80688,1.31157,0.000713,0.000713,0.000713
67,5579.39,1.28287,0.86447,1.26904,0.86457,0.83235,0.89446,0.55636,1.24812,0.80864,1.32706,0.0006932,0.0006932,0.0006932
68,5630.92,1.28899,0.85301,1.26878,0.85292,0.83554,0.8941,0.5552,1.19832,0.80806,1.30935,0.0006734,0.0006734,0.0006734
69,5682.02,1.2734,0.83618,1.27847,0.85177,0.84298,0.90385,0.56106,1.22797,0.79776,1.31946,0.0006536,0.0006536,0.0006536
70,5732.87,1.28818,0.82977,1.26393,0.85448,0.81686,0.89561,0.56415,1.20526,0.79842,1.30707,0.0006338,0.0006338,0.0006338
71,5783.83,1.2863,0.81548,1.28008,0.85345,0.85165,0.90118,0.56587,1.19943,0.78412,1.29821,0.000614,0.000614,0.000614
72,5833.77,1.25798,0.84206,1.25998,0.85635,0.83375,0.90389,0.57855,1.15488,0.78327,1.28423,0.0005942,0.0005942,0.0005942
73,5884.39,1.28717,0.82332,1.2887,0.85683,0.83435,0.9009,0.579,1.18151,0.77673,1.2922,0.0005744,0.0005744,0.0005744
74,5935.16,1.27626,0.80911,1.27762,0.84235,0.83736,0.90529,0.58452,1.16613,0.7569,1.28902,0.0005546,0.0005546,0.0005546
75,5985.93,1.263,0.7982,1.26556,0.85207,0.84237,0.90455,0.57669,1.17901,0.75864,1.29344,0.0005348,0.0005348,0.0005348
76,6036.82,1.27261,0.81498,1.2659,0.85646,0.84542,0.90889,0.59359,1.14994,0.74979,1.27318,0.000515,0.000515,0.000515
77,6086.96,1.23601,0.79308,1.248,0.85453,0.83766,0.90555,0.59451,1.13984,0.74781,1.27072,0.0004952,0.0004952,0.0004952
78,6136.84,1.2559,0.7986,1.25089,0.85654,0.85135,0.91096,0.59879,1.13662,0.73509,1.27513,0.0004754,0.0004754,0.0004754
79,6187.53,1.23423,0.7803,1.24491,0.8539,0.83872,0.90638,0.59253,1.13044,0.75985,1.26171,0.0004556,0.0004556,0.0004556
80,6237.86,1.24003,0.779,1.25282,0.85608,0.86173,0.92122,0.60309,1.15205,0.71892,1.26789,0.0004358,0.0004358,0.0004358
81,6287.57,1.22068,0.78714,1.22245,0.86422,0.84829,0.91602,0.60576,1.11828,0.72274,1.25569,0.000416,0.000416,0.000416
82,6338.11,1.20623,0.77161,1.23194,0.87441,0.84282,0.91527,0.61695,1.10672,0.71743,1.25281,0.0003962,0.0003962,0.0003962
83,6387.79,1.20295,0.76825,1.23744,0.86405,0.84263,0.91306,0.61109,1.11853,0.72157,1.25728,0.0003764,0.0003764,0.0003764
84,6438.44,1.20423,0.77774,1.21859,0.84322,0.86988,0.92404,0.62102,1.10848,0.70685,1.24577,0.0003566,0.0003566,0.0003566
85,6488.74,1.20012,0.76745,1.23371,0.86295,0.85376,0.92147,0.62082,1.08108,0.70262,1.22734,0.0003368,0.0003368,0.0003368
86,6538.73,1.17867,0.74971,1.21336,0.86727,0.85877,0.92458,0.62686,1.08346,0.69938,1.23111,0.000317,0.000317,0.000317
87,6589.19,1.16973,0.76502,1.19739,0.87376,0.85558,0.9272,0.64208,1.05774,0.69311,1.21607,0.0002972,0.0002972,0.0002972
88,6638.98,1.17715,0.7277,1.21898,0.8624,0.87016,0.92734,0.6324,1.076,0.6865,1.22389,0.0002774,0.0002774,0.0002774
89,6688.43,1.16775,0.73381,1.20526,0.86408,0.85831,0.92515,0.63827,1.06402,0.67585,1.21732,0.0002576,0.0002576,0.0002576
90,6738.39,1.18466,0.72945,1.19636,0.86232,0.87472,0.93375,0.64832,1.05364,0.65343,1.21483,0.0002378,0.0002378,0.0002378
91,6795.71,1.12916,0.70916,1.26498,0.8597,0.85981,0.92969,0.64752,1.03503,0.67226,1.20679,0.000218,0.000218,0.000218
92,6846.58,1.11129,0.69308,1.26586,0.88191,0.86743,0.93592,0.65062,1.03847,0.6633,1.20224,0.0001982,0.0001982,0.0001982
93,6898.07,1.07965,0.67632,1.22957,0.88558,0.86392,0.93861,0.6555,1.05164,0.65226,1.20725,0.0001784,0.0001784,0.0001784
94,6949.13,1.10592,0.68359,1.25415,0.87124,0.87973,0.9395,0.66263,1.01234,0.65188,1.19101,0.0001586,0.0001586,0.0001586
95,7000.14,1.09445,0.66381,1.23948,0.89163,0.86241,0.94219,0.66496,1.01849,0.63373,1.19124,0.0001388,0.0001388,0.0001388
96,7050.5,1.07618,0.66284,1.25291,0.88582,0.87016,0.94446,0.66847,1.0106,0.63083,1.18765,0.000119,0.000119,0.000119
97,7100.83,1.06373,0.65746,1.23709,0.89128,0.87025,0.94369,0.67181,1.00451,0.62946,1.18425,9.92e-05,9.92e-05,9.92e-05
98,7150.62,1.07251,0.65724,1.23057,0.89413,0.86959,0.94578,0.67501,1.00251,0.62492,1.17955,7.94e-05,7.94e-05,7.94e-05
99,7200.8,1.05833,0.64911,1.22636,0.88989,0.86892,0.94536,0.67734,0.9973,0.61606,1.17786,5.96e-05,5.96e-05,5.96e-05
100,7251.07,1.05673,0.64585,1.23281,0.8949,0.87283,0.94697,0.67847,0.99355,0.61281,1.17415,3.98e-05,3.98e-05,3.98e-05
